Work_experience,Gender,Age,Education_level,Functions_used,Usage_frequency,ES_Name,Mobile_device,Device_ownership,system_integrity,system_availability,system_confidentiality,system_accountability,system_nonrepudiation,PSave,Install_firewall,BYOD,Ignore_warnning,Strong_pin,Store_passwords,update_OS,MDave,public_WiFi,unsecured_network,network_control,network_attack,encrypted_transimittion,unreliable_int,WNave,cloud_resource,cloud_compute,remote_datastore,Data_regulation,multiple_login,weak_authentication,Cloudave,unknown_app,update_ES,Auto_update,VPN,third_party_app,update,APPave,single_authenticate,audit_log,access_right,change_data,malicious_attack,Data_threats,DATAave,treat
less than 1 year,Male,20-29,college,Finance,3-5 times per day,Kingdee,iPhone,User owned,6,6,6,6,6,6,5,5,5,5,5,5,5,6,6,6,4,4,4,5,5,5,5,6,5,5,5.17,7,6,5,6,6,6,6,5,5,5,6,5,6,5.33,1
6-10year,Male,more than 50,college,accounting,1-2 times per day,Yonyou,iPhone,User owned,4,7,6,6,7,6,4,5,5,5,5,5,4.83,5,5,6,4,4,4,4.67,5,5,5,6,6,6,5.5,3,4,3,6,4,3,3.83,6,4,4,4,4,4,4.33,1
3-5year,Male,20-29,high school,Finance,1-2 times per day,NERP,Huawei phone,User owned,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,5.5,4,5,6,6,6,6,5.5,4,6,4,4,3,3,4,0
1-2year,Male,20-29,college,accounting,3-5 times per day,Kingdee,iPhone,User owned,4,6,6,6,8,6,3,3,5,3,4,5,3.83,7,7,7,8,4,7,6.67,6,6,6,6,6,6,6,8,8,7,8,8,8,7.83,6,6,7,7,8,8,7,1
3-5year,Genderfluid,40-49,Phd degree,accounting,More than 10 times per day,Yonyou,Huawei tablet,User owned,7,5,6,5,7,6,5,5,5,5,4,5,4.83,6,6,6,6,6,6,6,5,4,4,4,4,3,4,6,5,5,6,6,6,5.67,8,6,6,7,7,7,6.83,0
3-5year,Male,40-49,undergraduate,accounting,3-5 times per day,Kingdee,iPhone,User owned,6,6,6,6,6,6,5,5,5,5,4,5,4.83,4,4,4,5,5,4,4.33,5,5,5,6,5,5,5.17,5,4,5,4,3,4,4.17,6,5,5,5,5,5,5.17,1
6-10year,Intersex,40-49,college,inventory,More than 10 times per day,Yonyou,Samsung phone,Both,7,5,6,7,5,6,5,4,5,3,4,5,4.33,5,5,5,5,7,5,5.33,5,5,5,6,5,5,5.17,5,5,5,5,5,5,5,2,3,3,3,3,3,2.83,0
more than 10 year,Male,20-29,Phd degree,Human Resource,3-5 times per day,Kingdee,iPhone,User owned,6,7,6,5,6,6,1,3,4,3,4,3,3,6,6,6,6,1,6,5.17,5,5,5,6,6,6,5.5,2,3,4,3,4,4,3.33,1,3,3,3,3,3,2.67,1
3-5year,Male,20-29,high school,Finance,1-2 times per day,NERP,iPhone,User owned,5,5,7,7,6,6,5,2,5,5,3,5,4.17,6,6,6,6,7,5,6,5,5,5,5,5,5,5,3,4,4,5,4,4,4,6,6,6,5,6,5,5.67,1
3-5year,Male,20-29,high school,Finance,1-2 times per day,NERP,Huawei phone,User owned,6,6,5,6,7,6,4,4,3,6,2,4,3.83,5,5,5,4,6,6,5.17,4,3,3,4,4,3,3.5,1,2,2,2,2,2,1.83,6,4,4,4,4,4,4.33,0
1-2year,Female,20-29,master degree,accounting,3-5 times per day,NERP,Huawei phone,User owned,6,5,6,7,5,5.8,7,7,6,6,8,5,6.5,5,7,6,6,6,6,6,6,6,7,7,6,7,6.5,5,6,7,6,6,7,6.17,7,6,6,7,7,6,6.5,0
less than 1 year,Female,less than 20,undergraduate,accounting,1-2 times per day,NERP,iPhone,User owned,5,4,6,7,7,5.8,4,5,7,4,7,6,5.5,5,6,7,7,8,8,6.83,7,7,7,8,8,8,7.5,5,6,5,5,4,4,4.83,5,5,5,5,6,5,5.17,1
3-5year,Female,20-29,college,Human Resource,3-5 times per day,Kingdee,Huawei phone,User owned,6,6,6,6,5,5.8,5,5,6,4,7,6,5.5,6,6,6,6,6,6,6,7,6,7,7,7,7,6.83,5,4,4,7,4,4,4.67,8,8,8,4,6,7,6.83,0
3-5year,Female,30-39,undergraduate,Human Resource,3-5 times per day,NERP,Huawei phone,User owned,6,6,5,7,5,5.8,8,7,6,6,6,6,6.5,7,7,7,8,9,8,7.67,5,6,6,5,7,6,5.83,6,7,7,6,7,7,6.67,6,6,6,5,6,6,5.83,0
1-2year,Female,40-49,college,inventory,3-5 times per day,Kingdee,iPhone,User owned,5,6,7,6,5,5.8,8,7,6,6,6,6,6.5,6,6,6,4,5,4,5.17,5,5,5,6,5,5,5.17,4,4,5,5,5,5,4.67,0,0,0,0,2,4,1,1
1-2year,Female,40-49,college,Human Resource,3-5 times per day,Kingdee,iPhone,User owned,5,6,7,6,5,5.8,8,7,6,6,6,6,6.5,6,7,6,6,4,7,6,6,6,6,6,6,6,6,4,4,5,5,5,5,4.67,4,4,2,3,2,4,3.17,1
less than 1 year,Female,less than 20,college,inventory,3-5 times per day,NERP,Huawei phone,User owned,5,6,6,6,6,5.8,6,2,5,5,6,4,4.67,8,6,7,7,4,5,6.17,7,7,7,8,8,8,7.5,6,7,6,5,6,6,6,6,6,4,5,6,4,5.17,0
3-5year,Male,20-29,undergraduate,Human Resource,6-10 times per day,Yonyou,Huawei tablet,User owned,7,5,7,5,5,5.8,4,5,4,5,1,4,3.83,4,6,6,6,5,6,5.5,6,6,6,6,6,6,6,6,5,5,6,5,5,5.33,6,6,5,5,6,6,5.67,0
less than 1 year,Male,20-29,Phd degree,inventory,1-2 times per day,NERP,iPhone,User owned,7,5,5,7,5,5.8,6,6,4,5,6,4,5.17,9,1,6,7,6,7,6,6,6,7,7,6,7,6.5,3,3,4,4,3,4,3.5,5,6,5,6,5,6,5.5,1
1-2year,Female,30-39,undergraduate,Human Resource,3-5 times per day,Kingdee,Huawei phone,User owned,7,5,6,6,5,5.8,5,6,4,5,6,4,5,5,5,5,5,6,5,5.17,6,5,6,6,6,6,5.83,5,5,5,4,3,4,4.33,3,4,5,6,5,6,4.83,0
less than 1 year,Non-binary gender,less than 20,undergraduate,accounting,1-2 times per day,NERP,Huawei phone,User owned,5,7,5,6,6,5.8,5,6,4,5,6,4,5,1,3,3,2,3,2,2.33,4,4,4,4,4,2,3.67,8,6,6,5,6,5,6,5,5,5,5,5,5,5,0
3-5year,Female,20-29,undergraduate,Budget,6-10 times per day,NERP,Huawei phone,User owned,6,7,2,7,7,5.8,4,5,4,5,6,4,4.67,4,4,3,4,5,5,4.17,5,5,5,5,5,5,5,4,4,4,4,4,4,4,6,6,5,6,4,5,5.33,0
1-2year,Intersex,20-29,undergraduate,Human Resource,3-5 times per day,Kingdee,Huawei phone,User owned,5,6,6,5,7,5.8,5,5,4,5,6,4,4.83,8,4,6,6,6,7,6.17,5,4,4,5,4,4,4.33,5,4,4,4,3,4,4,3,2,3,4,3,5,3.33,0
1-2year,Male,20-29,high school,Manufacturing,1-2 times per day,Kingdee,iPhone,User owned,6,7,6,7,3,5.8,4,4,7,4,5,7,5.17,6,6,6,6,5,5,5.67,2,6,7,7,7,8,6.17,5,6,6,5,6,5,5.5,7,7,4,4,6,7,5.83,1
less than 1 year,Female,40-49,master degree,Procurement,3-5 times per day,Kingdee,iPhone,User owned,6,3,7,6,7,5.8,5,5,7,4,5,7,5.5,7,1,6,7,8,7,6,6,6,6,6,6,6,6,5,6,7,8,8,8,7,8,8,6,6,6,5,6.5,1
1-2year,Male,20-29,master degree,Human Resource,6-10 times per day,Yonyou,Huawei tablet,User owned,5,6,7,5,6,5.8,5,6,6,8,5,7,6.17,6,6,7,7,7,8,6.83,9,8,7,7,7,7,7.5,6,5,6,6,7,6,6,7,7,6,7,7,7,6.83,0
3-5year,Genderfluid,40-49,undergraduate,accounting,3-5 times per day,Kingdee,iPhone,User owned,6,6,5,6,6,5.8,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,6,7,7,7,7,6.83,5,4,5,6,5,5,5,6,6,6,6,6,6,6,1
less than 1 year,Female,less than 20,high school,Finance,1-2 times per day,Kingdee,iPhone,User owned,6,5,6,6,6,5.8,6,6,4,9,5,7,6.17,5,5,5,5,6,5,5.17,7,6,6,6,6,6,6.17,8,8,9,9,9,9,8.67,6,6,6,6,6,6,6,1
1-2year,Female,30-39,undergraduate,Budget,3-5 times per day,Kingdee,iPhone,User owned,6,5,7,6,5,5.8,5,5,3,4,5,3,4.17,5,5,5,5,6,5,5.17,6,5,5,6,5,5,5.33,7,6,6,5,4,4,5.33,5,4,5,6,5,4,4.83,1
3-5year,Male,40-49,college,Human Resource,1-2 times per day,Yonyou,Huawei phone,User owned,5,6,6,6,6,5.8,3,3,5,3,4,5,3.83,6,6,5,5,6,6,5.67,3,4,4,5,4,4,4,2,2,3,3,3,3,2.67,5,5,4,4,4,5,4.5,0
6-10year,Female,30-39,undergraduate,Procurement,6-10 times per day,Yonyou,Huawei phone,User owned,6,7,5,5,6,5.8,3,3,4,4,4,4,3.67,6,7,6,7,6,7,6.5,7,7,2,7,7,7,6.17,6,7,7,7,7,7,6.83,6,5,6,6,6,6,5.83,0
1-2year,Female,20-29,undergraduate,inventory,3-5 times per day,Kingdee,iPhone,User owned,6,6,5,6,6,5.8,3,3,4,6,3,4,3.83,6,6,5,5,5,6,5.5,3,3,3,3,3,4,3.17,4,4,4,4,4,4,4,5,5,5,5,5,5,5,1
1-2year,Male,40-49,undergraduate,Finance,1-2 times per day,NERP,Huawei phone,User owned,6,6,6,6,5,5.8,3,3,1,4,3,2,2.67,5,5,5,6,3,5,4.83,6,4,4,5,4,4,4.5,5,5,5,5,4,3,4.5,4,4,4,3,3,3,3.5,0
1-2year,Male,20-29,undergraduate,Finance,6-10 times per day,Kingdee,iPhone,User owned,6,3,6,7,7,5.8,6,2,2,6,1,3,3.33,6,6,6,6,9,6,6.5,6,7,6,7,7,7,6.67,4,4,4,5,5,5,4.5,7,7,7,6,7,7,6.83,1
3-5year,Female,20-29,college,Procurement,3-5 times per day,Kingdee,iPhone,User owned,6,5,5,7,5,5.6,6,7,8,6,9,4,6.67,6,7,7,7,8,8,7.17,5,5,5,6,5,5,5.17,10,6,7,7,7,4,6.83,6,6,5,4,6,4,5.17,1
less than 1 year,Intersex,less than 20,undergraduate,Procurement,1-2 times per day,Yonyou,iPhone,User owned,5,5,5,5,8,5.6,4,5,4,3,7,4,4.5,4,4,5,6,5,5,4.83,2,6,7,7,7,7,6,3,2,5,3,3,3,3.17,7,7,7,8,8,6,7.17,1
3-5year,Female,less than 20,undergraduate,Procurement,3-5 times per day,Yonyou,iPhone,User owned,6,5,4,6,7,5.6,5,2,7,6,6,6,5.33,7,7,7,8,9,8,7.67,6,6,6,5,5,5,5.5,5,7,4,7,6,6,5.83,6,6,6,6,6,7,6.17,1
less than 1 year,Male,20-29,undergraduate,inventory,1-2 times per day,NERP,iPhone,User owned,6,5,6,6,5,5.6,6,6,6,6,6,6,6,6,6,6,7,6,6,6.17,4,5,5,5,5,5,4.83,6,7,7,8,7,7,7,3,5,4,4,4,6,4.33,1
more than 10 year,Female,more than 50,Phd degree,Budget,6-10 times per day,NERP,Sony phone,Company owned,7,5,5,6,5,5.6,7,8,5,7,6,6,6.5,7,5,7,7,7,8,6.83,7,7,8,8,8,8,7.67,6,6,6,6,7,6,6.17,6,5,5,6,5,6,5.5,0
3-5year,Female,20-29,undergraduate,accounting,3-5 times per day,NERP,iPhone,User owned,5,7,4,6,6,5.6,6,6,4,5,6,4,5.17,6,6,6,6,5,6,5.83,4,4,4,5,5,5,4.5,4,4,3,3,3,3,3.33,3,3,3,6,4,4,3.83,1
1-2year,Female,30-39,Phd degree,Procurement,3-5 times per day,NERP,Huawei phone,User owned,6,6,4,6,6,5.6,4,4,7,4,5,7,5.17,7,8,8,8,2,5,6.33,6,6,6,6,6,6,6,6,7,6,7,8,8,7,6,6,6,7,7,7,6.5,0
1-2year,Female,less than 20,master degree,Human Resource,3-5 times per day,Kingdee,iPhone,User owned,6,5,4,6,7,5.6,4,5,7,4,5,7,5.33,5,6,6,6,7,7,6.17,5,5,5,7,6,6,5.67,6,5,5,6,5,6,5.5,6,6,5,5,6,6,5.67,1
3-5year,Male,40-49,high school,Budget,1-2 times per day,Yonyou,iPhone,User owned,6,6,7,3,6,5.6,5,5,7,4,5,7,5.5,5,6,6,6,6,6,5.83,4,5,5,6,5,5,5,4,5,6,5,6,5,5.17,7,7,7,7,4,6,6.33,1
less than 1 year,Male,20-29,undergraduate,accounting,1-2 times per day,NERP,iPhone,User owned,5,7,6,6,4,5.6,5,6,4,7,5,5,5.33,4,4,5,5,6,6,5,7,7,7,8,8,8,7.5,4,4,5,5,5,5,4.67,6,6,6,5,5,5,5.5,1
1-2year,Male,30-39,undergraduate,Human Resource,6-10 times per day,Kingdee,Huawei phone,User owned,6,6,6,6,4,5.6,4,4,3,4,5,5,4.17,6,6,6,6,5,7,6,6,6,6,6,6,6,6,7,6,6,6,6,4,5.83,6,6,5,5,6,6,5.67,0
6-10year,Female,30-39,college,Human Resource,3-5 times per day,Kingdee,Huawei phone,User owned,6,5,6,6,5,5.6,5,5,5,5,4,5,4.83,6,6,6,6,7,7,6.33,7,6,7,7,6,7,6.67,6,6,6,7,6,6,6.17,7,7,7,6,7,7,6.83,0
3-5year,Genderfluid,30-39,undergraduate,Procurement,3-5 times per day,NEWGRAND Software,iPhone,User owned,6,6,4,5,7,5.6,5,5,5,5,4,5,4.83,5,5,5,4,6,4,4.83,2,6,7,7,7,8,6.17,5,4,4,4,7,6,5,5,5,4,5,6,4,4.83,1
3-5year,Female,30-39,high school,Procurement,3-5 times per day,NERP,Huawei phone,User owned,7,5,5,5,5,5.4,5,6,6,4,7,6,5.67,6,6,6,6,6,6,6,8,3,7,7,7,7,6.5,7,5,6,5,6,5,5.67,8,8,8,6,7,7,7.33,0
more than 10 year,Female,more than 50,Phd degree,Budget,1-2 times per day,Yonyou,iPhone,User owned,5,5,6,5,6,5.4,5,6,1,4,7,6,4.83,6,7,7,4,6,4,5.67,5,4,4,5,4,4,4.33,6,6,6,6,6,6,6,10,10,10,10,6,7,8.83,1
1-2year,Male,30-39,Phd degree,Human Resource,3-5 times per day,Kingdee,iPhone,User owned,5,5,6,6,5,5.4,8,9,5,8,7,6,7.17,5,5,5,5,7,6,5.5,6,6,6,6,6,6,6,2,3,4,3,4,4,3.33,6,6,6,6,6,6,6,1
3-5year,Female,less than 20,master degree,Procurement,3-5 times per day,Kingdee,Ipad,User owned,6,5,5,6,5,5.4,6,7,5,8,7,8,6.83,6,6,6,6,5,6,5.83,6,5,6,6,6,6,5.83,7,7,6,6,7,6,6.5,6,5,5,6,5,6,5.5,0
3-5year,Genderfluid,20-29,undergraduate,Procurement,6-10 times per day,Yonyou,iPhone,User owned,4,6,4,8,5,5.4,6,6,6,6,6,8,6.33,6,6,6,6,6,7,6.17,8,8,7,7,7,7,7.33,8,9,4,7,8,8,7.33,6,6,7,7,8,8,7,1
less than 1 year,Female,less than 20,master degree,inventory,1-2 times per day,NEWGRAND Software,iPhone,User owned,6,5,5,5,6,5.4,5,5,6,6,6,6,5.67,6,6,6,6,6,6,6,5,5,5,5,5,5,5,6,4,5,6,5,6,5.33,6,6,5,6,5,6,5.67,1
1-2year,Female,less than 20,college,Finance,3-5 times per day,NERP,Huawei phone,User owned,6,6,3,6,6,5.4,6,6,6,5,6,6,5.83,5,5,6,5,6,6,5.5,6,6,6,6,6,6,6,7,7,4,7,6,7,6.33,4,4,5,6,5,6,5,0
3-5year,Genderfluid,30-39,college,Human Resource,6-10 times per day,Yonyou,Huawei tablet,User owned,7,4,6,4,6,5.4,5,5,4,7,6,5,5.33,5,5,5,5,7,6,5.5,6,6,6,5,5,5,5.5,8,8,7,6,7,7,7.17,8,4,6,7,7,7,6.5,0
less than 1 year,Female,20-29,high school,accounting,3-5 times per day,Kingdee,iPhone,User owned,5,4,6,6,6,5.4,4,5,4,5,6,4,4.67,5,5,5,5,5,6,5.17,6,5,5,5,5,5,5.17,4,5,5,6,6,6,5.33,6,5,5,4,6,4,5,1
1-2year,Intersex,20-29,college,inventory,3-5 times per day,Kingdee,iPhone,User owned,6,6,6,5,4,5.4,5,5,4,5,6,4,4.83,7,7,7,8,7,8,7.33,7,3,7,7,7,7,6.33,4,4,4,5,5,5,4.5,4,4,5,4,4,6,4.5,1
less than 1 year,Female,30-39,undergraduate,Procurement,3-5 times per day,NERP,Huawei phone,User owned,6,6,5,6,4,5.4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,6,7,8,7,7,6,5,5,5,6,5,5.33,0
less than 1 year,Female,less than 20,undergraduate,inventory,1-2 times per day,NERP,Huawei phone,User owned,5,5,6,6,5,5.4,5,6,4,7,5,5,5.33,6,6,6,5,6,5,5.67,4,4,4,5,4,4,4.17,4,4,5,5,5,5,4.67,7,8,6,6,6,6,6.5,0
less than 1 year,Female,less than 20,undergraduate,inventory,1-2 times per day,NERP,iPhone,User owned,5,5,6,6,5,5.4,4,4,3,4,5,5,4.17,4,4,5,4,6,5,4.67,6,5,6,6,6,6,5.83,7,8,4,7,8,8,7,6,6,6,6,6,6,6,1
3-5year,Female,30-39,master degree,inventory,3-5 times per day,Kingdee,Huawei phone,User owned,8,4,4,8,3,5.4,5,5,3,4,5,3,4.17,5,5,5,5,5,6,5.17,8,8,8,8,9,8,8.17,2,3,3,3,3,3,2.83,2,3,3,4,4,3,3.17,0
6-10year,Female,more than 50,undergraduate,Human Resource,6-10 times per day,Yonyou,Huawei tablet,Both,6,6,6,4,5,5.4,6,5,4,5,4,5,4.83,6,6,6,6,7,6,6.17,6,6,7,7,6,7,6.5,6,5,5,5,5,5,5.17,1,3,3,5,4,5,3.5,0
3-5year,Male,more than 50,college,Finance,3-5 times per day,Kingdee,iPhone,User owned,5,4,6,6,6,5.4,3,3,4,2,4,3,3.17,4,5,5,6,5,6,5.17,3,3,3,3,4,4,3.33,5,5,5,5,5,3,4.67,3,3,3,4,4,3,3.33,1
6-10year,Female,30-39,undergraduate,Procurement,3-5 times per day,NERP,Huawei tablet,User owned,5,7,5,5,5,5.4,5,4,5,5,3,5,4.5,5,5,5,5,5,5,5,4,3,3,3,3,3,3.17,6,6,6,7,8,6,6.5,6,6,6,6,5,6,5.83,0
less than 1 year,Female,less than 20,master degree,Human Resource,1-2 times per day,NEWGRAND Software,Huawei phone,User owned,6,5,6,4,6,5.4,3,3,4,5,3,4,3.67,4,5,4,3,3,3,3.67,3,3,3,4,3,3,3.17,5,6,6,6,6,6,5.83,2,2,2,3,3,3,2.5,0
less than 1 year,Male,20-29,high school,accounting,1-2 times per day,Yonyou,iPhone,User owned,5,6,5,6,5,5.4,5,4,3,4,3,4,3.83,2,3,3,2,2,3,2.5,6,6,5,6,5,5,5.5,6,6,5,6,5,5,5.5,4,6,5,4,4,4,4.5,1
more than 10 year,Male,30-39,Phd degree,inventory,1-2 times per day,NEWGRAND Software,iPhone,User owned,5,6,5,5,5,5.2,5,5,6,6,6,6,5.67,7,7,7,8,6,8,7.17,7,7,8,8,8,8,7.67,6,5,5,5,5,5,5.17,6,6,5,6,5,6,5.67,1
less than 1 year,Female,less than 20,master degree,Human Resource,1-2 times per day,Yonyou,iPhone,User owned,5,6,5,5,5,5.2,6,6,4,5,6,4,5.17,6,6,5,5,5,6,5.5,7,7,7,8,8,8,7.5,6,6,5,5,5,5,5.33,5,5,5,6,6,6,5.5,1
less than 1 year,Intersex,30-39,Phd degree,Human Resource,3-5 times per day,NEWGRAND Software,Huawei tablet,Company owned,5,6,6,4,5,5.2,6,6,4,5,6,4,5.17,5,5,5,6,5,6,5.33,3,4,4,5,4,4,4,7,7,7,8,7,6,7,5,4,4,4,4,4,4.17,0
3-5year,Genderfluid,30-39,undergraduate,Human Resource,3-5 times per day,NERP,Huawei phone,User owned,6,5,5,5,5,5.2,6,5,7,4,5,7,5.67,5,5,5,5,6,6,5.33,6,6,7,7,7,7,6.67,6,7,6,6,6,6,6.17,6,6,6,4,6,7,5.83,0
less than 1 year,Female,less than 20,college,Human Resource,1-2 times per day,NERP,iPhone,User owned,5,5,6,5,5,5.2,3,4,5,3,5,5,4.17,6,7,6,7,7,7,6.67,6,6,6,5,5,5,5.5,5,5,5,5,5,5,5,6,6,5,5,6,5,5.5,1
6-10year,Genderfluid,30-39,high school,Human Resource,More than 10 times per day,Yonyou,Huawei phone,User owned,3,4,6,7,6,5.2,5,5,5,5,5,5,5,3,4,4,4,6,4,4.17,4,5,5,6,5,5,5,4,6,6,5,6,5,5.33,6,6,4,6,6,4,5.33,0
less than 1 year,Female,30-39,high school,Budget,3-5 times per day,NERP,Huawei phone,User owned,6,6,4,5,5,5.2,4,4,5,3,5,5,4.33,4,3,4,4,3,5,3.83,6,6,7,5,5,7,6,5,4,4,5,5,6,4.83,2,3,4,4,6,4,3.83,0
less than 1 year,Female,20-29,high school,Procurement,3-5 times per day,Kingdee,iPhone,User owned,6,5,5,5,5,5.2,4,4,5,5,5,5,4.67,7,7,7,8,6,8,7.17,5,5,5,6,5,5,5.17,6,5,5,6,5,5,5.33,2,5,5,6,5,6,4.83,1
1-2year,Female,20-29,undergraduate,Human Resource,3-5 times per day,Kingdee,iPhone,User owned,6,5,5,4,6,5.2,5,5,5,5,5,5,5,6,7,6,6,6,6,6.17,6,6,6,6,6,6,6,6,6,7,6,4,7,6,5,5,5,6,5,5,5.17,1
3-5year,Genderfluid,20-29,college,accounting,3-5 times per day,NERP,Huawei phone,User owned,5,5,5,7,4,5.2,5,6,4,7,5,5,5.33,6,4,5,5,6,5,5.17,7,6,7,7,6,7,6.67,4,5,6,5,6,6,5.33,1,4,4,5,4,5,3.83,0
3-5year,Male,20-29,undergraduate,accounting,3-5 times per day,NERP,Huawei phone,User owned,4,5,6,6,5,5.2,4,3,5,3,4,5,4,6,7,7,7,8,8,7.17,6,6,6,7,6,6,6.17,5,6,6,6,7,6,6,5,6,6,5,6,5,5.5,0
6-10year,Genderfluid,20-29,undergraduate,Procurement,3-5 times per day,Kingdee,Ipad,User owned,5,5,5,6,5,5.2,2,3,5,3,4,5,3.67,5,4,4,3,4,3,3.83,7,7,8,5,5,7,6.5,5,6,5,5,5,5,5.17,6,5,5,5,5,5,5.17,0
1-2year,Female,less than 20,undergraduate,accounting,More than 10 times per day,Yonyou,blackberry phone,User owned,6,6,5,4,5,5.2,4,4,5,3,4,5,4.17,4,6,7,7,7,7,6.33,5,5,5,4,4,4,4.5,3,5,6,6,6,6,5.33,6,4,4,7,4,4,4.83,0
3-5year,Female,more than 50,college,inventory,3-5 times per day,NERP,Huawei phone,User owned,5,5,7,5,4,5.2,6,5,4,5,4,5,4.83,5,5,5,5,5,5,5,5,5,4,4,3,4,4.17,2,3,7,4,4,4,4,5,5,5,5,5,5,5,0
3-5year,Female,30-39,college,Human Resource,More than 10 times per day,Kingdee,Huawei tablet,User owned,6,6,4,6,4,5.2,3,3,4,4,4,4,3.67,5,3,4,3,6,2,3.83,8,6,6,6,6,6,6.33,8,6,5,6,5,5,5.83,2,4,2,4,4,5,3.5,0
6-10year,Female,30-39,college,accounting,3-5 times per day,Kingdee,iPhone,Company owned,6,5,5,5,5,5.2,3,3,4,1,4,3,3,8,8,2,7,4,7,6,6,5,5,4,4,4,4.67,7,6,5,5,5,5,5.5,2,3,3,3,3,6,3.33,1
1-2year,Male,30-39,high school,sales,1-2 times per day,Yonyou,iPhone,User owned,5,5,6,5,5,5.2,3,3,4,4,4,4,3.67,4,4,5,5,5,6,4.83,4,4,3,4,4,3,3.67,5,5,5,5,4,3,4.5,2,3,3,3,3,3,2.83,1
less than 1 year,Male,30-39,master degree,inventory,3-5 times per day,Kingdee,iPhone,User owned,5,6,6,4,5,5.2,9,9,5,8,1,7,6.5,5,5,6,5,5,5,5.17,5,5,5,5,5,5,5,5,6,6,5,6,5,5.5,6,6,5,6,5,6,5.67,1
3-5year,Female,40-49,master degree,accounting,More than 10 times per day,Kingdee,Huawei tablet,User owned,5,5,5,5,5,5,8,9,7,7,8,8,7.83,7,7,7,8,8,9,7.67,6,5,5,5,5,5,5.17,6,5,6,6,6,6,5.83,7,7,7,7,8,8,7.33,0
3-5year,Female,40-49,master degree,Human Resource,More than 10 times per day,Kingdee,Huawei tablet,User owned,5,5,5,5,5,5,7,8,4,7,8,8,7,7,7,7,8,8,9,7.67,4,4,4,5,5,5,4.5,6,5,6,6,6,6,5.83,7,7,7,8,8,8,7.5,0
3-5year,Female,40-49,undergraduate,Procurement,3-5 times per day,Kingdee,Ipad,User owned,4,7,4,5,5,5,6,6,6,0,7,6,5.17,7,7,7,8,8,8,7.5,6,7,7,7,7,8,7,7,7,7,7,7,8,7.17,7,7,7,6,7,7,6.83,0
3-5year,Male,20-29,college,Human Resource,More than 10 times per day,Yonyou,iPhone,User owned,7,4,6,4,4,5,5,5,6,4,7,6,5.5,4,4,4,5,4,4,4.17,4,3,3,3,3,3,3.17,7,7,4,7,8,8,6.83,2,6,6,5,6,5,5,1
3-5year,Female,30-39,college,Procurement,3-5 times per day,NERP,Huawei phone,User owned,5,4,5,6,5,5,6,6,4,0,7,4,4.5,4,4,4,4,4,3,3.83,6,7,7,7,7,8,7,7,5,5,4,3,4,4.67,6,6,6,7,6,7,6.33,0
less than 1 year,Female,less than 20,college,Finance,3-5 times per day,Kingdee,Huawei phone,User owned,6,4,4,6,5,5,6,6,6,6,6,6,6,6,6,6,7,4,6,5.83,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,6,5,5,4.83,0
more than 10 year,Male,30-39,high school,Finance,6-10 times per day,Yonyou,iPhone,User owned,5,5,5,5,5,5,5,6,4,5,6,4,5,5,5,5,4,5,4,4.67,5,5,5,4,4,4,4.5,4,2,4,2,3,4,3.17,5,4,4,5,4,4,4.33,1
1-2year,Female,30-39,undergraduate,Human Resource,3-5 times per day,NERP,Huawei phone,User owned,6,5,5,4,5,5,5,5,7,4,5,7,5.5,7,8,5,7,7,7,6.83,4,5,5,6,5,5,5,6,6,6,5,6,5,5.67,6,5,5,5,6,5,5.33,0
6-10year,Female,40-49,master degree,accounting,1-2 times per day,Yonyou,iPhone,User owned,4,2,6,7,6,5,5,5,5,5,5,5,5,8,8,9,9,9,9,8.67,6,7,7,8,8,8,7.33,5,4,7,8,8,8,6.67,8,8,8,8,8,8,8,1
3-5year,Female,less than 20,college,Procurement,1-2 times per day,Yonyou,iPhone,User owned,4,5,5,5,6,5,2,3,5,3,5,5,3.83,6,6,6,6,6,6,6,5,4,4,5,4,4,4.33,8,6,5,6,7,6,6.33,4,5,6,6,6,6,5.5,1
1-2year,Genderfluid,30-39,college,Procurement,3-5 times per day,NERP,Huawei phone,User owned,5,4,5,6,5,5,5,5,5,5,5,5,5,4,4,5,4,4,4,4.17,7,7,2,7,7,7,6.17,6,6,5,5,5,5,5.33,6,6,6,6,6,5,5.83,0
1-2year,Female,40-49,college,Procurement,3-5 times per day,NERP,Huawei phone,User owned,4,5,5,6,5,5,3,4,5,5,5,5,4.5,6,6,6,6,6,6,6,7,3,7,7,7,7,6.33,6,7,7,7,7,7,6.83,5,5,5,5,6,5,5.17,0
3-5year,Male,20-29,high school,Human Resource,1-2 times per day,Yonyou,iPhone,User owned,6,5,5,4,5,5,4,4,5,5,5,5,4.67,5,6,5,5,3,5,4.83,3,2,2,2,3,2,2.33,6,4,3,3,3,3,3.67,4,4,4,4,4,3,3.83,1
3-5year,Female,more than 50,undergraduate,Procurement,1-2 times per day,Master service,iPhone,User owned,4,5,5,5,6,5,5,5,5,7,4,5,5.17,7,4,6,7,7,7,6.33,8,8,2,7,7,7,6.5,8,6,6,5,6,6,6.17,6,5,5,6,5,6,5.5,1
